company,symbol,sector,year,quarter,transcript_count,outlook_sentence_count,sentiment_lexicon,sentiment_finbert
A. O. Smith Corporation,AOS,Industrials,2024,1,1,39,0.0015737899443105663,0.17304528984599388
A. O. Smith Corporation,AOS,Industrials,2024,2,1,48,-0.0007390918681234245,0.2432459617460457
A. O. Smith Corporation,AOS,Industrials,2024,3,1,48,0.0017444214248107008,0.08021470888828237
A. O. Smith Corporation,AOS,Industrials,2024,4,1,53,0.0043470664750696825,0.32963095061516146
The Boeing Company,BA,Industrials,2024,1,1,28,0.014755269924061579,0.476868639334238
The Boeing Company,BA,Industrials,2024,2,1,29,0.01232082962322652,0.2201884083192924
The Boeing Company,BA,Industrials,2024,3,1,29,0.0018385462359882749,0.2424398474555848
The Boeing Company,BA,Industrials,2024,4,1,33,0.0034097175730904315,0.3444843218012741
"Brown & Brown, Inc.",BRO,Industrials,2024,1,1,27,0.02011610570171116,0.47771678161289954
"Brown & Brown, Inc.",BRO,Industrials,2024,2,1,22,-0.0028010519946003814,0.19568443374538963
"Brown & Brown, Inc.",BRO,Industrials,2024,3,1,20,0.004144937620547377,0.1422139804577455
"Brown & Brown, Inc.",BRO,Industrials,2024,4,1,36,-0.004710065051248626,0.14413804846764025
Carrier Global Corporation,CARR,Industrials,2024,1,1,60,0.007923031546219952,0.28983655197080227
Carrier Global Corporation,CARR,Industrials,2024,2,1,56,0.0030772414817196803,0.17489394319376775
Carrier Global Corporation,CARR,Industrials,2024,3,1,72,0.0051958406612304464,0.2504589847004455
Carrier Global Corporation,CARR,Industrials,2024,4,1,67,0.005764721032505218,0.31921482155683323
Caterpillar Inc.,CAT,Industrials,2024,1,1,121,0.015046966474531758,0.26548790662310834
Caterpillar Inc.,CAT,Industrials,2024,2,1,114,0.011809031269086329,0.09591012692748847
Caterpillar Inc.,CAT,Industrials,2024,3,1,100,0.010239644733620289,0.053878346476703885
Caterpillar Inc.,CAT,Industrials,2024,4,1,114,-0.0008294797777032439,-0.1119665816638684
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,2024,1,1,13,0.009307572769111231,0.4277584445304595
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,2024,2,1,20,0.007802431966969184,0.1583410689374432
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,2024,3,1,28,0.0011569396156260556,0.11977982956783048
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,2024,4,1,19,0.012487954461638672,0.381282786422066
Cummins Inc.,CMI,Industrials,2024,1,1,74,0.008311336913077064,0.19696986110176187
Cummins Inc.,CMI,Industrials,2024,2,1,62,0.01029272791660905,0.1608899319244008
Cummins Inc.,CMI,Industrials,2024,3,1,71,0.00787731407923303,0.2738305998139713
